steam_id_number,game_title,release_month,release_year,release_price,lowest_estimated_owners_number,highest_estimated_owners_number,average_estimated_owners_number,developer,publisher
104,ICEY,November,2016,10.99,"500,000","1,000,000","750,000",FantaBlade Network,XD
105,Tales of Arise,September,2021,59.99,"2,000,000","5,000,000","3,500,000",Bandai Namco Studios Inc.,Bandai Namco Entertainment
106,Nioh: Complete Edition,November,2017,12.49,"1,000,000","2,000,000","1,500,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
107,SPORE,December,2008,4.99,"2,000,000","5,000,000","3,500,000",Maxis™,Electronic Arts
108,Fallout: New Vegas,October,2010,9.99,"500,000","1,000,000","750,000",Obsidian Entertainment,Bethesda Softworks
109,The Binding of Isaac,September,2011,4.99,"2,000,000","5,000,000","3,500,000","Edmund McMillen, Florian Himsl",Edmund McMillen
110,NieR:Automata,March,2017,39.99,"1,000,000","2,000,000","1,500,000","Square Enix, PlatinumGames Inc.",Square Enix
111,Darkest Dungeon,January,2016,24.99,"2,000,000","5,000,000","3,500,000",Red Hook Studios,Red Hook Studios
112,Fallout 4,November,2015,19.99,"5,000,000","10,000,000","7,500,000",Bethesda Game Studios,Bethesda Softworks
113,Silent Storm Gold Edition,September,2004,9.99,"100,000","200,000","150,000",Nival,THQ Nordic
114,Demeo,May,2021,29.99,"100,000","200,000","150,000",Resolution Games,Resolution Games
115,The Legend of Heroes: Trails in the Sky the 3rd,May,2017,29.99,"100,000","200,000","150,000",Nihon Falcom,"XSEED Games, Marvelous USA, Inc."
116,Atelier Sophie 2: The Alchemist of the Mysterious Dream,February,2022,59.99,"50,000","100,000","75,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
117,EverQuest II,December,2011,0,"500,000","1,000,000","750,000",Darkpaw Games,Daybreak Game Company
118,Valdis Story: Abyssal City,October,2013,14.99,"200,000","500,000","350,000",Endlessfluff Games,Endlessfluff Games
119,Crown Trick,October,2020,19.99,"200,000","500,000","350,000",NEXT Studios,"Team17, NEXT Studios"
120,Valkyria Chronicles 4 Complete Edition,September,2018,49.99,"200,000","500,000","350,000",SEGA,SEGA
121,Torchlight,October,2009,7.49,"1,000,000","2,000,000","1,500,000",Runic Games,Runic Games
